video_id,cut_id,start_sec,end_sec,duration_sec,visual,subtitle,audio,motion,effect,confidence,time_error_sec
02_hare,A,0.00,0.50,0.50,駅。ブレザー女子が立つ。晴れ,私は両手を合わせて / 床に触れると,ナレ+BGM全尺,静止,なし,confirmed_visual,0.20
02_hare,B,0.50,0.90,0.40,同じ駅。手を合わせる,同,ナレ+BGM全尺,別ポーズへハードカット,なし,confirmed_visual,0.20
02_hare,C,0.90,1.80,0.90,しゃがみ床に手。足元が暗い,同,ナレ+BGM全尺,別絵,足元の効果,confirmed_visual,0.20
02_hare,D,1.80,2.80,1.00,雨の駅。カエルの手が下から,カエル,ナレ+BGM全尺,未計測,雨・集中線,confirmed_visual,0.20
02_hare,E,2.80,5.20,2.40,3分割。母・カエル・騎士,をランダムに / 出すことが出来て,ナレ+BGM全尺,静止,雨,confirmed_visual,0.30
02_hare,F,5.20,8.20,3.00,楕円。幼い女子と倒れた男／騎士,好きな漫画の真似を / してた時に発覚,ナレ+BGM全尺,切替,ビネット,confirmed_visual,0.40
02_hare,G,8.20,10.20,2.00,スーパー。母が電話。吹き出し,お母さんから / 買い物帰りに,ナレ+BGM全尺,静止,吹き出し,confirmed_visual,0.40
02_hare,H,10.20,12.20,2.00,騎士の肩に女子,騎士は頼もしくて / 学校まで運んでくれて,ナレ+BGM全尺,静止,なし,confirmed_visual,0.40
02_hare,I,12.20,14.20,2.00,電車内。騎士と驚く乗客,電車で騎士が / 出ちゃった時は,ナレ+BGM全尺,ハードカット,なし,confirmed_visual,0.40
02_hare,J,14.20,15.40,1.20,雨の駅。カエルと青い傘,よくみると / かわいい…かも？,ナレ+BGM全尺,静止,雨,confirmed_visual,0.40
02_hare,K,15.40,18.20,2.80,室内。時計とポテチの母,ただどれを出しても / 15分経つと,ナレ+BGM全尺,静止,なし,confirmed_visual,0.40
02_hare,L,18.20,20.20,2.00,大きなカエルと困る女子,出している間 / 他のは出せないみたいで,ナレ+BGM全尺,静止,なし,confirmed_visual,0.40
02_hare,M,20.20,22.20,2.00,光る母。男子がお辞儀,お母さんに会える以外 / 使い道はないから,ナレ+BGM全尺,静止,母に光,confirmed_visual,0.40
02_hare,N,22.20,25.20,3.00,横断歩道。女子1人,使ってなかったん / だけど…,ナレ+BGM全尺,静止,なし,confirmed_visual,0.40
02_hare,O,25.20,28.20,3.00,窓の外。増水と流される車,校舎の一部も浸水し,ナレ+BGM全尺,静止,雨,confirmed_visual,0.40
02_hare,P,28.20,32.20,4.00,青ざめた女子の顔,これ帰れるの…？,ナレ+BGM全尺,顔アップ,汗,confirmed_visual,0.40
02_hare,Q,32.20,35.20,3.00,カエル顔アップ,えまた / カエル！？…,ナレ+BGM全尺,顔アップ,集中線,confirmed_visual,0.40
02_hare,R,35.20,40.20,5.00,楕円の雨の駅。回想,思い返すと,ナレ+BGM全尺,ビネット,雨,confirmed_visual,0.40
02_hare,S,40.20,45.20,5.00,濁った増水,でも雨は止む / どころか強くなり,ナレ+BGM全尺,静止,雨,confirmed_visual,0.40
02_hare,T,45.20,50.20,5.00,教室。青ざめた男子とスマホの女子,このままみんな / 帰れないの？…,ナレ+BGM全尺,ハードカット,なし,confirmed_visual,0.40
02_hare,U,50.20,55.20,5.00,窓の外から見た青ざめた女子,天気に関係 / してるって事は…,ナレ+BGM全尺,引き,雨,confirmed_visual,0.40
02_hare,V,55.20,58.20,3.00,夜の増水,その瞬間 / ピカッと光り,ナレ+BGM全尺,静止,光のSEは未確認,confirmed_visual,0.40
02_hare,W,58.20,64.20,6.00,写実寄りの龍。のち空へ,巨大な龍が現れて,ナレ+BGM全尺,切替,この絵だけ画風例外,confirmed_visual,0.40
02_hare,X,64.20,66.50,2.30,晴れた校庭とヘリ,1時間後には / 救助も到着し,ナレ+BGM全尺,広角,なし,confirmed_visual,0.40
02_hare,Y,66.50,67.60,1.10,母と女子が泣いて抱き合う,無事でよかった！,ナレ+BGM全尺,静止,青字幕,confirmed_visual,0.30
