video_id,cut_id,start_sec,end_sec,duration_sec,visual,subtitle,audio,motion,effect,confidence,time_error_sec
01_hai,A,0.00,0.70,0.70,体育館。セーラー3人座り。中央だけハンカチで泣く,うちの学校の / 卒業証書は,未確認,ズームアウト。0.00は顔アップ、0.60は膝上。スケール比は未計測,なし,confirmed_visual,0.10
01_hai,B,0.70,1.10,0.40,卒業式広角。幕「祝 卒業」。手前に泣く女子。壇上で授与,同2行,未確認,大きなズームは見えない,なし,confirmed_visual,0.10
01_hai,C,1.10,1.40,0.30,校長と生徒が証書を両手で渡す,同2行,未確認,別絵へのハードカット,なし,confirmed_visual,0.10
01_hai,D,1.40,1.50,0.10,画像エリア白。黒帯と字幕は残る,同2行,未確認,なし,白フラッシュ,confirmed_visual,0.10
01_hai,E,1.50,1.75,0.25,金の証書アップ。机。縦書き卒業証書,金,未確認,静止,白いキラ（映像）,confirmed_visual,0.10
01_hai,F,1.75,2.00,0.25,銀の証書。左に金が切れる,銀,未確認,静止,キラ,confirmed_visual,0.10
01_hai,G,2.00,2.30,0.30,紙の証書。金の細い枠,普通,未確認,静止,キラなし,confirmed_visual,0.10
01_hai,H,2.30,2.90,0.60,黒い早押しボタン。左に紙証書,暗黒ボタン,未確認,静止,後ろの暗い煙,confirmed_visual,0.10
01_hai,I,2.90,3.55,0.65,校長と机の金銀紙ボタン,の4つがあって,未確認,弱い引き（幕が広く見える）,白い集中線,confirmed_visual,0.10
01_hai,J,3.55,4.30,0.75,灰色スジ背景。金→銀→普通→ボタン,どれをもらうかは,未確認,横パン。絵が左へ,キラは金銀に薄い,confirmed_visual,0.10
01_hai,K,4.30,5.20,0.90,表彰台2-1-3。青背景,成績で / 決まるんだけど,未確認,ほぼ静止,白い星,confirmed_visual,0.20
01_hai,L,5.20,6.20,1.00,4点が小さく横並び,それぞれ特典として,未確認,静止または弱いパン,なし,estimated_time,0.50
01_hai,M,6.20,8.00,1.80,帽子の女子と世界の名所。金の巻物,世界一周旅行,未確認,未計測,なし,estimated_time,0.50
01_hai,N,8.00,12.00,4.00,浴衣の女子。温泉宿,近くの温泉に / 一泊二日の,未確認,未計測,湯気,estimated_time,0.50
01_hai,O,12.00,14.00,2.00,黒チケット TICKET 午前4:00駅前集合,暗黒ボタンの / チケットには,未確認,未計測,なし,estimated_time,0.50
01_hai,P,14.00,20.00,6.00,ボタン授与など卒業式の続き,このボタンをもらった / 卒業生たち ほか,未確認,ハードカット,なし,sampled,0.50
01_hai,Q,20.00,25.00,5.00,校長がボタンを差し出す,私は一人だけ / 暗黒ボタンをもらい,未確認,未計測,なし,sampled,0.50
01_hai,R,25.00,30.00,5.00,黒いバス「暗黒ボタン」。夜,真っ黒なバスが / 止まってて,未確認,未計測,集中線,sampled,0.50
01_hai,S,30.00,40.00,10.00,バス車内から旅館へ,着いた先は ほか,未確認,ハードカット,なし,sampled,1.00
01_hai,T,40.00,45.00,5.00,浴衣の女子が布団の前で焦る,全員分の布団 / も敷いて,未確認,未計測,汗,sampled,0.50
01_hai,U,45.00,55.00,10.00,サングラスの男。女湯。吹き出し,皆さんの旅先で…（黄）,未確認,未計測,吹き出し,sampled,0.50
01_hai,V,55.00,60.00,5.00,砂漠で荷物を持つ女子,実は暗黒ボタンが / 一番得かも？,未確認,未計測,星,sampled,0.50
01_hai,W,60.00,66.00,6.00,サングラス男とチケット,暗黒ボタンの / 卒業旅行は（黄）,未確認,未計測,なし,sampled,0.50
01_hai,X,66.00,68.74,2.74,女子がボタンを持つ。オレンジの強調,このボタン押したら / 帰れたりしてw,未確認,未計測,オレンジの線,confirmed_visual,0.50
02_hare,A,0.00,0.50,0.50,駅。ブレザー女子が立つ。晴れ,私は両手を合わせて / 床に触れると,未確認,静止または弱い,なし,confirmed_visual,0.20
02_hare,B,0.50,0.90,0.40,同じ駅。手を合わせる,同,未確認,別ポーズへハードカット,なし,confirmed_visual,0.20
02_hare,C,0.90,1.80,0.90,しゃがみ床に手。足元が暗い,同,未確認,別絵,足元の効果,confirmed_visual,0.20
02_hare,D,1.80,2.80,1.00,雨の駅。カエルの手が下から,カエル,未確認,未計測,雨・集中線,confirmed_visual,0.20
02_hare,E,2.80,4.50,1.70,3分割。母・カエル・騎士,をランダムに / 出すことが出来て,未確認,静止,雨,confirmed_visual,0.30
02_hare,F,4.50,8.00,3.50,幼い女子が床に手。公園。楕円,好きな漫画の真似を / してた時に発覚,未確認,未計測,ビネット,confirmed_visual,0.50
