video_id,cut_id,start_sec,end_sec,duration_sec,visual,subtitle,audio,motion,effect,confidence,time_error_sec
06_switch,A,0.00,0.80,0.80,ピンク服の女子の顔アップ。両手を合わせる。青空,私は手を叩くと,ナレ+BGM全尺,静止,なし,confirmed_visual,0.15
06_switch,B,0.80,2.10,1.30,黒服の男が緑スマホ。奥に校舎とピンクの女,位置を入れ替えられる / 能力があって,ナレ+BGM全尺,ハードカット,なし,confirmed_visual,0.20
06_switch,C,2.10,3.80,1.70,室内。赤ちゃんが両手を上げて座る,赤ちゃんの時に手を / 叩きまくって発覚,ナレ+BGM全尺,ハードカット,なし,confirmed_visual,0.20
06_switch,D,3.80,5.80,2.00,長い階段。下に幼女。途中に石,階段めんどくさい時は / 石投げて位置を / 入れ替えたり,ナレ+BGM全尺,広角で静止,なし,confirmed_visual,0.20
06_switch,E,5.80,7.50,1.70,駅。制服女子が走る。緑の電車,電車に乗り遅れた時も / 手を叩けば余裕だし,ナレ+BGM全尺,走りのポーズ,汗,confirmed_visual,0.20
06_switch,F,7.50,14.00,6.50,リレー・報告・制限の説明,聞き取り推定。目に入る物だけ等,ナレ+BGM全尺,ハードカット,なし,estimated_from_audio,1.00
06_switch,G,14.00,28.00,14.00,火事とサチコ。画面未取得,聞き取りが崩れている,ナレ+BGM全尺,未計測,なし,unconfirmed_visual,2.00
06_switch,H,28.00,48.00,20.00,入れ替え・崩落・瓦礫・ドローン,サチコ助けて / 天井が崩れ / ドローン ほか,ナレ+BGM。28秒前後に短い間,ハードカット,集中線は必要なとき,estimated_from_audio,1.00
06_switch,I,48.00,51.00,3.00,紫の渦。女子が座って頭を抱える,このまま地面に / 激突したら..！,ナレ+BGM全尺,静止,渦背景,confirmed_visual,0.30
06_switch,J,51.00,59.73,8.73,歯との入れ替え。救助。ドローン代,こっち見て / ドローン代お願いします,ナレ+BGM。53秒前後に短い間,ハードカット,パンは未確認SE,estimated_from_audio,0.80
